                                               comment  label
200  [201看的时候我脑子里只有四个字：巨星光环，每个角色/IP都是巨星，每个演员都是巨星，当然...      1
201                     [202漫威迷不容错过，普通人看个热闹+特效，票价还算值。]      1
202  [203节奏快，英雄多，看得真是非常过瘾了。这集反派特别给力，看着我们的英雄们被各种按在地上...      1
203  [204谁能横刀立马，唯有灭霸将军。灭霸戏很足，一改往年漫威反派弱鸡戏码。有亲情，有身世，二...      1
204                   [205英雄们变身释出技能很爽，但是灭霸的责任心让人印象深刻。]      1
205  [206从某种意义上讲，作为剧集型电影的漫威系列也有着典型公共网剧集的特质：以角色为中心，故...      1
206  [207没有给观众一刻缓冲时间，故事就在突然的绝望中戛然而止。这是我看过的所有影视作品中最强...      1
207  [208Where? Who? Why?! Take that! 请听下回分解。 人太多太杂...      1
208  [209灭霸原来是计生办的！电影视觉效果一流。但组合的超级英雄太多节奏过于冗长，看到一半就审...      1
209                [210经过十年不懈努力，漫威对商业片的理解终于达到了张艺谋的水平。]      1
210  [211没办法，队长出现刹那还是泪了一下……兜转那么多年过去，才发觉自己最爱的始终是三巨头—...      1
211  [212我的瓦坎达！！！！我的国王陛下！！！！啊啊啊啊啊啊，死紫薯精！！！话说灭霸从头到尾就...      1
212                                           [213不喜欢]      0
213  [214灭霸的皱纹为什么是竖着长的…………我感觉我看漫威的时候才能恢复一点原来的我。就是那种...      1
214                            [215特效很酷炫，剧情反套路，抛了很多梗。]      1
215              [216最后大反派到的异度空间我一瞬间以为是天庭并且接见他的是太上老君。]      1
216  [217有着许多小情节和多部前作铺垫下的惊喜，可大体仍是一次预期内的阶段性总结。肤浅的笑料频...      1
217  [218好生气哦好绝望啊但是我还是要给五星啊。控制不住我寄几。（美队不梳油头我get了他的帅点。]      1
218                              [219最后好几个成了灰下一集该怎么办？]      1
219  [220当你觉得漫威越来越无聊越来越同质化，把复仇者联盟当作春晚看热闹时，这部阶段性的句号竟...      1

[220 rows x 2 columns]
